Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Polkadot,Solana,Tether,"USD Coin",XRP
"2020-10-16 00:00",31.33820693,11506.90263379,0.1065224,0.00260408,374.69960338,4.00516571,2.0796516,1.00162864,1.00100395,0.24490651
"2020-10-17 00:00",30.92524307,11520.28738716,0.10747751,0.00263996,373.57414002,4.02641246,2.22897041,1.00214719,1.00078688,0.2439617
"2020-10-18 00:00",31.42840846,11611.9620453,0.10806027,0.00262958,378.62665371,4.13215177,2.23885634,1.00226373,1.00082073,0.24452211
"2020-10-19 00:00",30.55580654,11681.73078482,0.10907239,0.00262586,379.24321339,4.06476208,2.08143122,1.00121775,1.00057397,0.24663243
"2020-10-20 00:00",29.54067393,11861.9961943,0.10511157,0.00256409,375.29679055,3.99466734,1.93719446,1.00124155,1.00035143,0.24646731
"2020-10-21 00:00",29.66868415,12462.8222345,0.1050502,0.00260557,385.80584882,4.08283314,1.91815045,1.00099062,1.00026463,0.24934273
"2020-10-22 00:00",30.82292039,12987.58991663,0.10938986,0.00265272,408.75553913,4.26476023,1.99693087,1.00057423,0.99982744,0.25820085
"2020-10-23 00:00",31.2155814,13017.57175633,0.11094649,0.00264637,417.41099559,4.39154819,1.94541694,1.00149082,1.00015033,0.25794595
"2020-10-24 00:00",30.96822876,13134.77518264,0.11018759,0.00267082,415.852174,4.41768298,1.91790955,1.00106862,0.99981157,0.25675557
"2020-10-25 00:00",30.85605801,13123.35807565,0.1081343,0.00258927,410.72699649,4.40600504,1.8068435,1.00093688,0.99938727,0.25493615
"2020-10-26 00:00",31.05765399,13125.13516547,0.10466669,0.00279956,401.96210463,4.59646185,1.70887889,1.00196159,1.00014606,0.25361403
"2020-10-27 00:00",32.14734642,13484.20326004,0.10411771,0.00267549,404.05391652,4.83080478,1.70936361,1.00197973,1.00037477,0.25184365
"2020-10-28 00:00",31.14258424,13478.19040384,0.09950129,0.00257121,395.84245504,4.50499368,1.53183176,1.0017465,1.00077094,0.25024136
"2020-10-29 00:00",30.42388557,13388.96237448,0.09883159,0.00257895,390.4763914,4.20627919,1.44751467,1.00135862,1.00023061,0.2453949
"2020-10-30 00:00",29.22091284,13538.98547139,0.09383767,0.0025758,386.87119472,4.10530148,1.43683073,1.00239867,1.00090986,0.24041053
"2020-10-31 00:00",29.00558029,13837.50510496,0.09478413,0.00262981,390.46813021,4.23582427,1.53097065,1.00234147,1.0005459,0.24103945
"2020-11-01 00:00",28.73640076,13918.33940206,0.09632529,0.00259645,393.60992493,4.21330084,1.58281955,1.00321427,1.00175821,0.24119179
"2020-11-02 00:00",29.05723543,13671.88807853,0.09701825,0.00249645,394.5492931,4.12390202,1.4855666,1.00237812,1.00097385,0.23915142
"2020-11-03 00:00",27.15112985,13715.92953573,0.09238381,0.0025269,385.47691646,4.007856,1.42571936,1.00127386,1.00035651,0.23709416
"2020-11-04 00:00",26.81658124,14102.07982128,0.09485514,0.00270861,402.50622528,4.07006904,1.40109233,1.00177917,1.00060667,0.23907692
"2020-11-05 00:00",27.76580443,14809.51384481,0.09625152,0.00259781,412.79757567,4.20957499,1.40709407,1.00237534,1.00081557,0.24257544
"2020-11-06 00:00",29.53416465,15817.87240673,0.10557828,0.00277537,441.68856869,4.47449441,1.8273167,1.00103434,1.00058356,0.25470042
"2020-11-07 00:00",28.89973687,15298.49886373,0.10812489,0.00270784,454.24835964,4.51971175,2.07877693,0.99921349,0.99910232,0.25767313
"2020-11-08 00:00",28.64830038,15283.98737941,0.10584501,0.00274554,450.63179325,4.3650089,2.16921478,0.99929934,0.9987974,0.25417925
"2020-11-09 00:00",29.17265158,15650.92630703,0.10637818,0.0029324,456.43010606,4.45024006,2.01079948,1.00096433,0.9997985,0.25368668
"2020-11-10 00:00",28.72906095,15677.80093105,0.10715435,0.0030538,456.93376482,4.49559465,2.25805921,1.00314894,0.99927527,0.25775359
"2020-11-11 00:00",28.26599897,15721.48969601,0.10900822,0.00282459,466.8259597,4.55899867,2.07285019,1.00154307,0.99927902,0.2581854
"2020-11-12 00:00",28.23745094,16029.49777144,0.10529453,0.00271794,479.0600635,4.43924963,1.90627181,1.0017443,0.99985493,0.25583587
"2020-11-13 00:00",27.97546252,16214.17020292,0.1060236,0.0028035,464.43311451,4.4194654,1.99830272,1.00106316,0.99997408,0.25741684
"2020-11-14 00:00",28.01318344,16119.12199564,0.10572939,0.0027987,466.78490853,4.47258645,1.92757805,1.00146837,1.00005743,0.26489696
"2020-11-15 00:00",28.00066766,16016.17541277,0.10388591,0.00278375,459.67305284,4.44860526,2.09985772,1.00165955,0.99976247,0.27014135
"2020-11-16 00:00",27.91030807,16171.31193613,0.10242965,0.0028783,454.79633286,4.44846144,2.30538984,1.00070997,0.99964568,0.27537188
"2020-11-17 00:00",28.31332811,16866.5510122,0.10756292,0.00295083,466.00160306,4.67499495,2.19825487,1.00123315,0.99968109,0.29299902
"2020-11-18 00:00",28.43670235,17691.73510129,0.10839924,0.00293544,478.38740742,4.77126057,2.10595238,1.00129645,0.99994881,0.29772658
"2020-11-19 00:00",28.10779514,17846.34617255,0.10635347,0.002931,475.82916994,4.68093298,2.14217936,1.00156406,1.00043367,0.29397987
"2020-11-20 00:00",28.45177746,18116.82676203,0.11163011,0.00299436,487.53846124,5.08057169,2.15269845,1.00128605,0.99977208,0.30602875
"2020-11-21 00:00",29.77863436,18718.35539097,0.13106362,0.00336295,525.47030424,5.45091981,2.33547278,1.000694,0.99934112,0.40834366
