Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Tether,XRP
"2017-09-12 00:00",1.0932199,4230.12412732,,0.00150303,299.65936927,1.00143178,0.21630447
"2017-09-13 00:00",0.87978216,3800.48180898,,0.00129187,265.60339847,1.00516052,0.19559428
"2017-09-15 00:00",0.75873572,3495.9991443,,0.00084838,240.21801472,1.00333343,0.17682311
"2017-09-17 00:00",0.81680876,3723.72173124,,0.00085899,263.55123819,1.00279799,0.18123732
"2017-09-19 00:00",0.81895752,3974.09989241,,0.00086513,287.25043662,1.0031319,0.18613774
"2017-09-21 00:00",0.72568858,3729.67907703,,0.00077966,269.00519938,1.00358695,0.17584926
"2017-09-23 00:00",0.76123179,3723.06592194,,0.00088142,279.5035351,1.00297922,0.17582831
"2017-09-25 00:00",0.86382629,3868.29237826,,0.00106091,289.59291872,1.00147853,0.18116635
"2017-09-27 00:00",1.15846559,4101.49955223,,0.00113823,297.87222851,1.00038802,0.19792512
"2017-09-29 00:00",1.2683797,4206.37408781,,0.00108968,293.79294024,0.99981919,0.19544651
"2017-10-01 00:00",1.57673623,4367.45094347,0.02647025,0.00109991,299.20895698,0.9992105,0.20030776
"2017-10-03 00:00",1.76209291,4304.1233406,0.02286015,0.0010648,294.56982685,1.00257664,0.20449108
"2017-10-05 00:00",1.60040978,4313.23265023,0.02097822,0.00102902,296.23618318,1.00101441,0.23272993
"2017-10-07 00:00",1.50338238,4419.59432449,0.02043274,0.00105688,309.66309331,0.99840205,0.24232168
"2017-10-09 00:00",1.38331076,4743.16807805,0.02172046,0.00100739,301.20955926,0.99930961,0.26057778
"2017-10-11 00:00",1.39518234,4950.5072951,0.02259325,0.00105144,303.74593065,0.99848092,0.26118235
"2017-10-13 00:00",1.40769311,5658.83876252,0.03072929,0.00105063,334.35252768,0.99944152,0.25669356
"2017-10-15 00:00",1.50050614,5650.39275776,0.03030441,0.00111423,336.31394004,0.99888462,0.26411905
"2017-10-17 00:00",1.36040999,5538.54929155,0.02655328,0.00107401,315.39902902,1.00280406,0.23777125
"2017-10-19 00:00",1.28946774,5715.96784989,0.02739605,0.00106542,308.65627397,1.00145702,0.2155052
"2017-10-21 00:00",1.22957898,6018.8658607,0.02856407,0.00102152,298.17929695,1.0019133,0.20528609
"2017-10-23 00:00",1.23716506,5811.85517739,0.02698774,0.0010347,295.76857645,1.00245875,0.20173226
"2017-10-25 00:00",1.21435366,5689.82665692,0.02694484,0.00105421,297.40108806,1.00252975,0.20464024
"2017-10-27 00:00",1.16402317,5811.04550602,0.02627836,0.00105248,296.94752209,1.00139695,0.20274732
"2017-10-29 00:00",1.23074881,6000.70963493,0.02775856,0.00112915,305.10640876,1.00022347,0.20261345
"2017-10-31 00:00",1.3068123,6412.72178696,0.02788628,0.00114387,305.43167634,0.99933312,0.20046413
"2017-11-02 00:00",1.34868895,7129.11473765,0.02221718,0.00113295,291.67859681,1.00349226,0.20050925
"2017-11-04 00:00",1.55332239,7370.05178134,0.02254079,0.00117766,299.78584403,1.00291115,0.20398999
"2017-11-06 00:00",1.63957845,7209.70199544,0.02184375,0.00117969,298.0847642,1.0021779,0.20538105
"2017-11-08 00:00",1.97957008,7309.45103467,0.0263114,0.0012405,309.60457091,1.00371216,0.21495934
"2017-11-10 00:00",1.80974377,6743.9030457,0.02874771,0.0012475,309.14857444,1.00499412,0.21117572
"2017-11-12 00:00",1.6099074,6229.22763549,0.02502945,0.00111691,311.40153949,1.00780024,0.20085853
"2017-11-14 00:00",1.60682604,6826.63285224,0.0263253,0.00122479,331.39890913,1.00568272,0.20916833
"2017-11-16 00:00",1.56609588,7656.92030676,0.02658045,0.00134622,330.46858436,1.00056932,0.22576049
"2017-11-18 00:00",1.62943513,7774.78380356,0.02636375,0.00134405,344.41318462,1.00203554,0.22795589
"2017-11-20 00:00",1.60302138,8120.1878415,0.02938636,0.00138407,362.44604109,0.99912808,0.23667402
"2017-11-22 00:00",1.58134965,8188.7260478,0.0283049,0.00175149,382.60205363,0.99760153,0.23870193
"2017-11-24 00:00",1.73863379,8328.54998711,0.02851013,0.00192275,450.8990503,1.00050431,0.24574698
"2017-11-26 00:00",1.86642733,9365.27162982,0.03971919,0.0019977,469.43760248,1.00292405,0.25070666
"2017-11-28 00:00",1.93004135,10284.10703484,0.09381472,0.00218752,477.73604863,1.00462614,0.27510305
"2017-11-30 00:00",1.96531748,10207.75045954,0.11461001,0.00207494,443.55648318,1.00448012,0.24752282
"2017-12-02 00:00",2.13320986,11248.32782447,0.13315144,0.00216536,469.25876146,1.00130183,0.25583837
"2017-12-04 00:00",2.5222692,11651.40770834,0.13212474,0.00240078,466.33408507,1.00130357,0.25060423
"2017-12-06 00:00",2.64425271,14283.24542368,0.11942913,0.0025878,437.98551275,1.0107015,0.2338548
"2017-12-08 00:00",2.61953776,15860.50697533,0.11450728,0.00265488,461.54337675,1.02502089,0.24999548
"2017-12-10 00:00",2.57135096,15647.17968366,0.11249756,0.00263442,459.41760841,1.01234441,0.24184227
"2017-12-12 00:00",2.72341995,17002.12204459,0.12655754,0.00326595,620.63609419,1.04355744,0.36635941
"2017-12-14 00:00",3.27700272,16999.01285132,0.19039446,0.00362735,689.72502907,1.01388287,0.71787943
"2017-12-16 00:00",5.04699041,18823.89506622,0.37440672,0.00536335,708.66144863,1.00986373,0.75547623
"2017-12-18 00:00",5.89296108,18797.43138856,0.52043296,0.00624527,788.15596832,1.01166331,0.77602599
"2017-12-20 00:00",5.32466897,16728.21939132,0.48655076,0.0066252,822.81487462,1.01134416,0.90414555
"2017-12-22 00:00",4.60060396,14357.04982213,0.41495777,0.00654738,706.63086547,1.02196747,1.13207284
"2017-12-24 00:00",5.48442817,13876.66975656,0.39083259,0.00860067,712.73051055,1.03050462,1.04185087
"2017-12-26 00:00",9.11341596,15816.74383339,0.417049,0.00903238,770.33914449,1.01000701,1.20667708
"2017-12-28 00:00",8.9060695,14695.45454233,0.42781634,0.00836282,739.58092109,1.01308527,1.57938549
"2017-12-30 00:00",8.15872747,13531.38189239,0.66618605,0.00831573,726.40205436,1.01364886,2.30089929
"2018-01-01 00:00",8.3573637,13699.375476,0.70459047,0.0086884,766.26795489,1.00841874,2.24105295
"2018-01-02 00:00",8.7265343,14651.85758745,0.8696309,0.00914479,889.97787352,1.00687323,2.57901749
"2018-01-04 00:00",10.70321049,15751.40622721,1.13551143,0.00990239,1002.47021797,1.00356682,3.33990306
"2018-01-06 00:00",19.45619732,17036.89316712,1.0138112,0.01538635,1072.74942536,1.00778566,3.1721038
"2018-01-08 00:00",18.23501351,15285.78291672,0.89625668,0.01553722,1194.78941675,1.00756207,2.49162637
"2018-01-10 00:00",17.73844322,14092.0801654,0.73378122,0.01236355,1273.44634715,1.00345868,1.92335857
"2018-01-12 00:00",22.4626467,14104.30460619,0.83668946,0.0127316,1295.56839114,1.00422172,2.04197597
"2018-01-14 00:00",21.01896159,13899.86950264,0.81074697,0.01154165,1339.42278676,1.01416483,1.85817379
"2018-01-16 00:00",13.68460032,11464.4862342,0.6053254,0.00726533,1032.20706755,1.02794956,1.25247795
"2018-01-18 00:00",14.86987352,11586.0366851,0.65530552,0.0080064,1044.5858354,1.01936967,1.56048608
"2018-01-20 00:00",15.23158797,12305.69166527,0.66575775,0.00802976,1103.45353631,1.00815774,1.5042984
"2018-01-22 00:00",13.0789563,11002.61174739,0.57136366,0.00683617,1002.41538823,1.00586817,1.31725104
"2018-01-24 00:00",13.51133182,11226.57865295,0.61684773,0.00715773,1040.73797334,1.00141137,1.34626016
"2018-01-26 00:00",13.11879579,11182.29645624,0.61542689,0.00733049,1063.4031645,1.00100353,1.22509494
"2018-01-28 00:00",13.29733384,11571.12679031,0.6463359,0.00728399,1198.46817123,0.99139098,1.32085838
"2018-01-30 00:00",11.57194873,10436.95639694,0.54184359,0.00629093,1116.49614829,0.99843353,1.18049525
"2018-02-01 00:00",9.44455818,9110.3903472,0.40734532,0.00493165,1002.0829753,0.99179962,0.93631355
"2018-02-03 00:00",9.29427391,8836.16916438,0.41118097,0.00482863,917.11707493,1.00049482,0.88202778
"2018-02-05 00:00",7.19615177,7256.08442336,0.33066601,0.00379495,722.91815538,1.00060439,0.71787703
"2018-02-07 00:00",8.45259253,8069.58049584,0.35365295,0.00451017,805.12631261,1.00973079,0.7626015
"2018-02-09 00:00",9.32280943,8520.60717397,0.39157804,0.00487353,854.57463248,1.01100554,0.9639404
"2018-02-11 00:00",9.01990318,8462.59702448,0.37888009,0.00509077,841.84197727,1.0026918,1.03731948
"2018-02-13 00:00",9.31659212,8867.62519465,0.37688096,0.00596816,866.34048503,1.00088606,1.05702458
"2018-02-15 00:00",10.79935867,9970.52548079,0.40234483,0.00720444,934.36910296,1.00399388,1.1359287
"2018-02-17 00:00",11.35891975,10784.09849762,0.40462455,0.00686402,955.8881696,1.00625346,1.1590557
"2018-02-19 00:00",10.89199462,11288.73093816,0.39101314,0.00693668,942.17932301,1.00279643,1.13838355
"2018-02-21 00:00",9.45082164,10684.05604187,0.35777371,0.00665417,853.73548877,1.00554785,1.00999572
"2018-02-23 00:00",9.25636805,10090.93314649,0.3339333,0.00648632,849.25263738,1.0034374,0.9701108
"2018-02-25 00:00",9.41256636,9835.00598296,0.33092258,0.00622964,851.43552778,1.00158815,0.9416907
"2018-02-27 00:00",10.64302276,10639.38306277,0.32880815,0.00629246,876.62815025,1.00088245,0.94133089
"2018-03-01 00:00",10.43578067,10862.04122508,0.29830633,0.00597969,866.21362174,1.0001709,0.91603319
"2018-03-03 00:00",10.2202886,11336.47937018,0.29540013,0.00540042,858.59352971,0.99963694,0.91900271
"2018-03-05 00:00",9.96905966,11312.72805012,0.29656115,0.00508947,848.5598784,1.0005431,0.98492753
"2018-03-07 00:00",8.9028579,10102.83563483,0.24997649,0.00425864,760.44402293,1.00533527,0.87743177
"2018-03-09 00:00",7.90240858,9136.80240188,0.2121568,0.00404953,707.34811101,1.00337795,0.81826547
"2018-03-11 00:00",8.07940811,9306.8855182,0.21837177,0.00408049,710.15779521,1.00276551,0.81343529
"2018-03-13 00:00",9.60728164,9000.22842215,0.21946791,0.00389155,677.10906511,1.00444617,0.77040218
"2018-03-15 00:00",9.01614849,8251.82284852,0.18191584,0.00351442,606.58199762,1.00162873,0.69118865
"2018-03-17 00:00",8.72642257,7916.79040652,0.15436017,0.00323484,547.57380804,1.00105062,0.63304844
"2018-03-19 00:00",8.90803501,8536.71061616,0.18317844,0.00343001,544.2624887,1.00023307,0.69227622
"2018-03-21 00:00",9.8937348,8916.36826308,0.21171602,0.00364681,559.34518013,1.00152165,0.68645993
"2018-03-23 00:00",11.66004407,8735.62240558,0.18951576,0.00353313,531.34810637,1.00128614,0.64650929
"2018-03-25 00:00",12.60758084,8415.55814559,0.17837691,0.00342137,511.1928577,1.00331714,0.62621288
"2018-03-27 00:00",11.65857724,7978.00156997,0.159245,0.00316888,458.12380049,1.00191218,0.58292471
"2018-03-29 00:00",10.56472024,7237.50043277,0.14804493,0.00286615,400.08481337,1.00191112,0.52457079
"2018-03-31 00:00",10.92151274,6940.68417711,0.15162368,0.00278115,392.78162738,1.00327129,0.50433353
"2018-04-02 00:00",12.54323571,7194.38871957,0.15875753,0.00284488,394.90393949,1.00203752,0.51275789
"2018-04-04 00:00",12.44943208,6951.17111952,0.15597442,0.00278367,385.6193689,1.00243962,0.50746866
"2018-04-06 00:00",12.3807792,6787.69295046,0.14679921,0.00273697,378.08378672,1.0006601,0.48303999
"2018-04-08 00:00",12.15210394,6956.23877996,0.15447627,0.00283487,399.44147432,0.99992245,0.49429663
"2018-04-10 00:00",12.00174509,6834.15271033,0.1559394,0.00307287,410.85334002,0.99617895,0.49315826
"2018-04-12 00:00",12.76092689,7651.8320567,0.19821072,0.00376383,476.96454573,0.99634633,0.59967818
"2018-04-14 00:00",13.28615832,8093.42538266,0.20700036,0.00424438,509.24269597,0.99951035,0.64840742
"2018-04-16 00:00",12.27047175,8057.19749029,0.2451199,0.00464627,510.83444204,0.999238,0.66243821
"2018-04-18 00:00",12.0315769,8137.68403538,0.26017806,0.00532562,528.38663641,0.99710535,0.70894317
"2018-04-20 00:00",12.65736679,8633.92183993,0.28791668,0.00563374,594.52387243,0.99843743,0.8712185
"2018-04-22 00:00",13.21554219,8887.18162984,0.28771025,0.00553782,629.77229536,0.99754534,0.87705871
"2018-04-24 00:00",14.37326735,9267.6773274,0.29474863,0.00551934,666.02044357,1.00121134,0.88123343
"2018-04-26 00:00",14.2566379,9062.96735031,0.28718115,0.00540989,648.46224753,0.99999345,0.82803488
"2018-04-28 00:00",14.99620475,9308.95022973,0.34850344,0.00541252,680.77760185,0.99924949,0.86022468
"2018-04-30 00:00",14.28257728,9165.54957096,0.34752413,0.0051986,671.6305845,1.00079462,0.83726707
"2018-05-02 00:00",14.29839527,9271.24329299,0.36978524,0.00532272,708.10477148,0.9979351,0.85995537
"2018-05-04 00:00",14.38232239,9757.83657955,0.36480948,0.00528384,796.8582329,0.99801639,0.89987499
"2018-05-06 00:00",13.82227955,9516.95042022,0.34121766,0.00488342,769.15723483,1.00191203,0.85275779
"2018-05-08 00:00",13.72098484,9260.27953522,0.32609521,0.00504962,746.27036882,0.9995865,0.80952501
"2018-05-10 00:00",13.77024902,9018.62438255,0.29449157,0.00468776,726.42981704,1.0163661,0.74763072
"2018-05-12 00:00",12.91133755,8521.9010605,0.27092845,0.00432546,690.78197208,0.99997906,0.70105666
"2018-05-14 00:00",12.86143036,8643.48766294,0.27247594,0.00448245,723.52133916,1.00652522,0.73129504
"2018-05-16 00:00",12.37284747,8301.45190215,0.25097331,0.00435744,698.41990595,1.00237557,0.69066124
"2018-05-18 00:00",14.51908694,8196.21230854,0.24232849,0.00418689,689.53388966,0.99828345,0.67390722
"2018-05-20 00:00",14.11609136,8426.66254285,0.25082421,0.00426177,709.65610168,1.00408853,0.68854383
"2018-05-22 00:00",13.7031796,8040.15682508,0.22568287,0.00389416,647.99212955,1.01061663,0.64366624
"2018-05-24 00:00",12.86921334,7531.36400548,0.20386791,0.00350709,592.61252786,0.9988013,0.61777688
"2018-05-26 00:00",12.81480733,7425.56137112,0.19777706,0.00347376,586.4882647,1.00287273,0.61153512
"2018-05-28 00:00",12.24158295,7290.83034413,0.18880408,0.00331226,542.20489871,1.00029007,0.58237447
"2018-05-30 00:00",13.07324956,7489.97818447,0.21409694,0.00342011,568.64540918,1.00181285,0.61025363
"2018-06-01 00:00",14.25754108,7536.82437817,0.22323503,0.00344945,582.54365835,0.99126371,0.62651336
