Week,ETH: (Worldwide)
2016-10-23,8
2016-10-30,7
2016-11-06,7
2016-11-13,7
2016-11-20,8
2016-11-27,8
2016-12-04,8
2016-12-11,7
2016-12-18,7
2016-12-25,5
2017-01-01,8
2017-01-08,7
2017-01-15,7
2017-01-22,7
2017-01-29,7
2017-02-05,8
2017-02-12,7
2017-02-19,9
2017-02-26,10
2017-03-05,9
2017-03-12,13
2017-03-19,10
2017-03-26,10
2017-04-02,9
2017-04-09,9
2017-04-16,7
2017-04-23,10
2017-04-30,14
2017-05-07,12
2017-05-14,11
2017-05-21,22
2017-05-28,20
2017-06-04,21
2017-06-11,33
2017-06-18,27
2017-06-25,26
2017-07-02,19
2017-07-09,21
2017-07-16,19
2017-07-23,15
2017-07-30,15
2017-08-06,18
2017-08-13,18
2017-08-20,16
2017-08-27,19
2017-09-03,18
2017-09-10,18
2017-09-17,18
2017-09-24,15
2017-10-01,16
2017-10-08,16
2017-10-15,16
2017-10-22,16
2017-10-29,19
2017-11-05,19
2017-11-12,18
2017-11-19,21
2017-11-26,29
2017-12-03,35
2017-12-10,42
2017-12-17,44
2017-12-24,32
2017-12-31,43
2018-01-07,57
2018-01-14,44
2018-01-21,32
2018-01-28,33
2018-02-04,28
2018-02-11,23
2018-02-18,24
2018-02-25,20
2018-03-04,19
2018-03-11,18
2018-03-18,18
2018-03-25,19
2018-04-01,16
2018-04-08,16
2018-04-15,16
2018-04-22,17
2018-04-29,19
2018-05-06,17
2018-05-13,16
2018-05-20,16
2018-05-27,15
2018-06-03,15
2018-06-10,13
2018-06-17,13
2018-06-24,13
2018-07-01,13
2018-07-08,12
2018-07-15,12
2018-07-22,12
2018-07-29,12
2018-08-05,12
2018-08-12,14
2018-08-19,13
2018-08-26,12
2018-09-02,15
2018-09-09,17
2018-09-16,17
2018-09-23,15
2018-09-30,12
2018-10-07,12
2018-10-14,12
2018-10-21,12
2018-10-28,12
2018-11-04,12
2018-11-11,12
2018-11-18,13
2018-11-25,13
2018-12-02,12
2018-12-09,12
2018-12-16,11
2018-12-23,11
2018-12-30,12
2019-01-06,12
2019-01-13,10
2019-01-20,10
2019-01-27,10
2019-02-03,10
2019-02-10,10
2019-02-17,14
2019-02-24,12
2019-03-03,11
2019-03-10,11
2019-03-17,10
2019-03-24,10
2019-03-31,13
2019-04-07,12
2019-04-14,9
2019-04-21,9
2019-04-28,10
2019-05-05,11
2019-05-12,17
2019-05-19,13
2019-05-26,12
2019-06-02,11
2019-06-09,11
2019-06-16,14
2019-06-23,17
2019-06-30,13
2019-07-07,14
2019-07-14,12
2019-07-21,10
2019-07-28,10
2019-08-04,11
2019-08-11,10
2019-08-18,11
2019-08-25,11
2019-09-01,12
2019-09-08,10
2019-09-15,14
2019-09-22,12
2019-09-29,10
2019-10-06,11
2019-10-13,10
2019-10-20,10
2019-10-27,11
2019-11-03,10
2019-11-10,9
2019-11-17,11
2019-11-24,10
2019-12-01,10
2019-12-08,10
2019-12-15,10
2019-12-22,9
2019-12-29,9
2020-01-05,11
2020-01-12,11
2020-01-19,10
2020-01-26,10
2020-02-02,14
2020-02-09,16
2020-02-16,15
2020-02-23,14
2020-03-01,12
2020-03-08,15
2020-03-15,11
2020-03-22,11
2020-03-29,9
2020-04-05,11
2020-04-12,11
2020-04-19,12
2020-04-26,15
2020-05-03,12
2020-05-10,14
2020-05-17,13
2020-05-24,13
2020-05-31,15
2020-06-07,14
2020-06-14,13
2020-06-21,14
2020-06-28,14
2020-07-05,14
2020-07-12,14
2020-07-19,20
2020-07-26,27
2020-08-02,28
2020-08-09,24
2020-08-16,22
2020-08-23,18
2020-08-30,24
2020-09-06,20
2020-09-13,20
2020-09-20,17
2020-09-27,15
2020-10-04,14
2020-10-11,13
2020-10-18,14
2020-10-25,14
2020-11-01,15
2020-11-08,18
2020-11-15,20
2020-11-22,28
2020-11-29,22
2020-12-06,17
2020-12-13,22
2020-12-20,21
2020-12-27,30
2021-01-03,65
2021-01-10,51
2021-01-17,45
2021-01-24,44
2021-01-31,57
2021-02-07,60
2021-02-14,59
2021-02-21,59
2021-02-28,41
2021-03-07,45
2021-03-14,41
2021-03-21,38
2021-03-28,45
2021-04-04,44
2021-04-11,52
2021-04-18,54
2021-04-25,56
2021-05-02,85
2021-05-09,100
2021-05-16,86
2021-05-23,63
2021-05-30,45
2021-06-06,40
2021-06-13,33
2021-06-20,41
2021-06-27,36
2021-07-04,39
2021-07-11,36
2021-07-18,35
2021-07-25,40
2021-08-01,58
2021-08-08,53
2021-08-15,47
2021-08-22,48
2021-08-29,60
2021-09-05,53
2021-09-12,44
2021-09-19,44
2021-09-26,43
2021-10-03,50
2021-10-10,47
