Week,XRP: (Worldwide)
2016-10-23,<1
2016-10-30,<1
2016-11-06,<1
2016-11-13,<1
2016-11-20,<1
2016-11-27,<1
2016-12-04,<1
2016-12-11,<1
2016-12-18,<1
2016-12-25,<1
2017-01-01,<1
2017-01-08,<1
2017-01-15,<1
2017-01-22,<1
2017-01-29,<1
2017-02-05,<1
2017-02-12,<1
2017-02-19,<1
2017-02-26,<1
2017-03-05,<1
2017-03-12,<1
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,2
2017-05-07,4
2017-05-14,5
2017-05-21,5
2017-05-28,4
2017-06-04,3
2017-06-11,4
2017-06-18,3
2017-06-25,3
2017-07-02,2
2017-07-09,2
2017-07-16,3
2017-07-23,2
2017-07-30,3
2017-08-06,2
2017-08-13,3
2017-08-20,6
2017-08-27,5
2017-09-03,3
2017-09-10,3
2017-09-17,2
2017-09-24,2
2017-10-01,3
2017-10-08,5
2017-10-15,6
2017-10-22,3
2017-10-29,4
2017-11-05,4
2017-11-12,5
2017-11-19,5
2017-11-26,10
2017-12-03,11
2017-12-10,47
2017-12-17,50
2017-12-24,57
2017-12-31,74
2018-01-07,53
2018-01-14,34
2018-01-21,18
2018-01-28,17
2018-02-04,15
2018-02-11,13
2018-02-18,10
2018-02-25,8
2018-03-04,12
2018-03-11,7
2018-03-18,8
2018-03-25,7
2018-04-01,7
2018-04-08,7
2018-04-15,9
2018-04-22,9
2018-04-29,7
2018-05-06,7
2018-05-13,6
2018-05-20,6
2018-05-27,6
2018-06-03,6
2018-06-10,6
2018-06-17,5
2018-06-24,6
2018-07-01,5
2018-07-08,5
2018-07-15,6
2018-07-22,7
2018-07-29,5
2018-08-05,7
2018-08-12,8
2018-08-19,7
2018-08-26,6
2018-09-02,6
2018-09-09,6
2018-09-16,17
2018-09-23,15
2018-09-30,13
2018-10-07,9
2018-10-14,9
2018-10-21,8
2018-10-28,8
2018-11-04,12
2018-11-11,10
2018-11-18,12
2018-11-25,9
2018-12-02,8
2018-12-09,8
2018-12-16,9
2018-12-23,9
2018-12-30,8
2019-01-06,7
2019-01-13,7
2019-01-20,6
2019-01-27,7
2019-02-03,6
2019-02-10,5
2019-02-17,7
2019-02-24,9
2019-03-03,6
2019-03-10,5
2019-03-17,6
2019-03-24,5
2019-03-31,9
2019-04-07,7
2019-04-14,7
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,15
2019-05-19,9
2019-05-26,11
2019-06-02,9
2019-06-09,7
2019-06-16,12
2019-06-23,12
2019-06-30,7
2019-07-07,8
2019-07-14,7
2019-07-21,6
2019-07-28,5
2019-08-04,6
2019-08-11,6
2019-08-18,6
2019-08-25,5
2019-09-01,5
2019-09-08,5
2019-09-15,8
2019-09-22,6
2019-09-29,6
2019-10-06,7
2019-10-13,6
2019-10-20,7
2019-10-27,6
2019-11-03,7
2019-11-10,5
2019-11-17,5
2019-11-24,6
2019-12-01,5
2019-12-08,5
2019-12-15,7
2019-12-22,6
2019-12-29,6
2020-01-05,8
2020-01-12,7
2020-01-19,7
2020-01-26,7
2020-02-02,10
2020-02-09,12
2020-02-16,9
2020-02-23,7
2020-03-01,6
2020-03-08,8
2020-03-15,7
2020-03-22,6
2020-03-29,6
2020-04-05,6
2020-04-12,6
2020-04-19,6
2020-04-26,8
2020-05-03,7
2020-05-10,7
2020-05-17,5
2020-05-24,5
2020-05-31,5
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,5
2020-07-05,6
2020-07-12,5
2020-07-19,6
2020-07-26,12
2020-08-02,14
2020-08-09,10
2020-08-16,10
2020-08-23,8
2020-08-30,8
2020-09-06,6
2020-09-13,6
2020-09-20,5
2020-09-27,5
2020-10-04,5
2020-10-11,5
2020-10-18,6
2020-10-25,5
2020-11-01,5
2020-11-08,7
2020-11-15,15
2020-11-22,43
2020-11-29,23
2020-12-06,21
2020-12-13,22
2020-12-20,47
2020-12-27,45
2021-01-03,37
2021-01-10,25
2021-01-17,20
2021-01-24,26
2021-01-31,75
2021-02-07,39
2021-02-14,35
2021-02-21,39
2021-02-28,20
2021-03-07,19
2021-03-14,18
2021-03-21,23
2021-03-28,21
2021-04-04,70
2021-04-11,100
2021-04-18,56
2021-04-25,52
2021-05-02,56
2021-05-09,49
2021-05-16,49
2021-05-23,35
2021-05-30,28
2021-06-06,21
2021-06-13,17
2021-06-20,19
2021-06-27,15
2021-07-04,14
2021-07-11,13
2021-07-18,13
2021-07-25,19
2021-08-01,16
2021-08-08,28
2021-08-15,30
2021-08-22,22
2021-08-29,24
2021-09-05,25
2021-09-12,18
2021-09-19,17
2021-09-26,16
2021-10-03,18
2021-10-10,21
