Week,crypto: (Worldwide)
2016-10-23,1
2016-10-30,1
2016-11-06,1
2016-11-13,1
2016-11-20,1
2016-11-27,1
2016-12-04,1
2016-12-11,1
2016-12-18,1
2016-12-25,1
2017-01-01,1
2017-01-08,1
2017-01-15,1
2017-01-22,1
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,1
2017-02-26,1
2017-03-05,1
2017-03-12,1
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,2
2017-05-07,2
2017-05-14,2
2017-05-21,3
2017-05-28,3
2017-06-04,3
2017-06-11,4
2017-06-18,3
2017-06-25,3
2017-07-02,3
2017-07-09,3
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,4
2017-08-13,4
2017-08-20,5
2017-08-27,5
2017-09-03,6
2017-09-10,5
2017-09-17,4
2017-09-24,4
2017-10-01,4
2017-10-08,4
2017-10-15,5
2017-10-22,5
2017-10-29,5
2017-11-05,6
2017-11-12,6
2017-11-19,7
2017-11-26,10
2017-12-03,16
2017-12-10,19
2017-12-17,26
2017-12-24,21
2017-12-31,30
2018-01-07,31
2018-01-14,29
2018-01-21,20
2018-01-28,19
2018-02-04,17
2018-02-11,13
2018-02-18,11
2018-02-25,10
2018-03-04,9
2018-03-11,9
2018-03-18,9
2018-03-25,8
2018-04-01,8
2018-04-08,7
2018-04-15,8
2018-04-22,8
2018-04-29,8
2018-05-06,8
2018-05-13,8
2018-05-20,7
2018-05-27,7
2018-06-03,7
2018-06-10,7
2018-06-17,6
2018-06-24,6
2018-07-01,5
2018-07-08,6
2018-07-15,6
2018-07-22,6
2018-07-29,6
2018-08-05,6
2018-08-12,6
2018-08-19,6
2018-08-26,6
2018-09-02,6
2018-09-09,6
2018-09-16,6
2018-09-23,6
2018-09-30,6
2018-10-07,6
2018-10-14,6
2018-10-21,5
2018-10-28,5
2018-11-04,6
2018-11-11,5
2018-11-18,6
2018-11-25,6
2018-12-02,5
2018-12-09,5
2018-12-16,5
2018-12-23,4
2018-12-30,5
2019-01-06,5
2019-01-13,5
2019-01-20,4
2019-01-27,4
2019-02-03,5
2019-02-10,4
2019-02-17,5
2019-02-24,5
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,4
2019-03-31,6
2019-04-07,6
2019-04-14,6
2019-04-21,5
2019-04-28,5
2019-05-05,5
2019-05-12,7
2019-05-19,6
2019-05-26,6
2019-06-02,6
2019-06-09,6
2019-06-16,7
2019-06-23,9
2019-06-30,7
2019-07-07,6
2019-07-14,6
2019-07-21,5
2019-07-28,5
2019-08-04,5
2019-08-11,5
2019-08-18,5
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,5
2019-09-22,5
2019-09-29,6
2019-10-06,5
2019-10-13,4
2019-10-20,5
2019-10-27,4
2019-11-03,5
2019-11-10,4
2019-11-17,5
2019-11-24,4
2019-12-01,4
2019-12-08,4
2019-12-15,5
2019-12-22,4
2019-12-29,4
2020-01-05,5
2020-01-12,5
2020-01-19,5
2020-01-26,5
2020-02-02,5
2020-02-09,8
2020-02-16,6
2020-02-23,5
2020-03-01,5
2020-03-08,6
2020-03-15,5
2020-03-22,5
2020-03-29,5
2020-04-05,6
2020-04-12,5
2020-04-19,5
2020-04-26,6
2020-05-03,7
2020-05-10,7
2020-05-17,6
2020-05-24,6
2020-05-31,6
2020-06-07,6
2020-06-14,6
2020-06-21,6
2020-06-28,5
2020-07-05,6
2020-07-12,7
2020-07-19,7
2020-07-26,9
2020-08-02,9
2020-08-09,9
2020-08-16,9
2020-08-23,8
2020-08-30,9
2020-09-06,8
2020-09-13,7
2020-09-20,7
2020-09-27,6
2020-10-04,6
2020-10-11,6
2020-10-18,7
2020-10-25,6
2020-11-01,5
2020-11-08,7
2020-11-15,8
2020-11-22,11
2020-11-29,9
2020-12-06,8
2020-12-13,10
2020-12-20,11
2020-12-27,14
2021-01-03,22
2021-01-10,20
2021-01-17,17
2021-01-24,24
2021-01-31,32
2021-02-07,40
2021-02-14,38
2021-02-21,36
2021-02-28,27
2021-03-07,32
2021-03-14,36
2021-03-21,32
2021-03-28,36
2021-04-04,41
2021-04-11,57
2021-04-18,77
2021-04-25,54
2021-05-02,80
2021-05-09,100
2021-05-16,90
2021-05-23,58
2021-05-30,42
2021-06-06,37
2021-06-13,32
2021-06-20,34
2021-06-27,27
2021-07-04,25
2021-07-11,23
2021-07-18,24
2021-07-25,28
2021-08-01,28
2021-08-08,36
2021-08-15,36
2021-08-22,37
2021-08-29,39
2021-09-05,46
2021-09-12,37
2021-09-19,36
2021-09-26,30
2021-10-03,40
2021-10-10,39
