Week,doge: (Worldwide)
2016-10-23,8
2016-10-30,8
2016-11-06,7
2016-11-13,8
2016-11-20,7
2016-11-27,7
2016-12-04,7
2016-12-11,8
2016-12-18,7
2016-12-25,6
2017-01-01,7
2017-01-08,8
2017-01-15,7
2017-01-22,8
2017-01-29,7
2017-02-05,7
2017-02-12,7
2017-02-19,8
2017-02-26,8
2017-03-05,7
2017-03-12,8
2017-03-19,7
2017-03-26,7
2017-04-02,9
2017-04-09,7
2017-04-16,7
2017-04-23,7
2017-04-30,7
2017-05-07,7
2017-05-14,7
2017-05-21,8
2017-05-28,7
2017-06-04,6
2017-06-11,6
2017-06-18,6
2017-06-25,6
2017-07-02,6
2017-07-09,6
2017-07-16,6
2017-07-23,6
2017-07-30,6
2017-08-06,6
2017-08-13,6
2017-08-20,6
2017-08-27,6
2017-09-03,6
2017-09-10,6
2017-09-17,6
2017-09-24,6
2017-10-01,6
2017-10-08,6
2017-10-15,6
2017-10-22,6
2017-10-29,6
2017-11-05,6
2017-11-12,6
2017-11-19,6
2017-11-26,6
2017-12-03,7
2017-12-10,8
2017-12-17,9
2017-12-24,9
2017-12-31,10
2018-01-07,12
2018-01-14,8
2018-01-21,7
2018-01-28,7
2018-02-04,7
2018-02-11,7
2018-02-18,7
2018-02-25,7
2018-03-04,7
2018-03-11,6
2018-03-18,7
2018-03-25,6
2018-04-01,6
2018-04-08,7
2018-04-15,6
2018-04-22,7
2018-04-29,7
2018-05-06,6
2018-05-13,7
2018-05-20,6
2018-05-27,6
2018-06-03,6
2018-06-10,6
2018-06-17,6
2018-06-24,5
2018-07-01,5
2018-07-08,5
2018-07-15,6
2018-07-22,6
2018-07-29,6
2018-08-05,7
2018-08-12,6
2018-08-19,6
2018-08-26,7
2018-09-02,7
2018-09-09,7
2018-09-16,6
2018-09-23,6
2018-09-30,7
2018-10-07,7
2018-10-14,6
2018-10-21,6
2018-10-28,6
2018-11-04,7
2018-11-11,6
2018-11-18,6
2018-11-25,6
2018-12-02,6
2018-12-09,7
2018-12-16,6
2018-12-23,6
2018-12-30,5
2019-01-06,6
2019-01-13,7
2019-01-20,6
2019-01-27,6
2019-02-03,6
2019-02-10,5
2019-02-17,6
2019-02-24,5
2019-03-03,6
2019-03-10,6
2019-03-17,7
2019-03-24,7
2019-03-31,7
2019-04-07,6
2019-04-14,6
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,6
2019-05-19,6
2019-05-26,6
2019-06-02,6
2019-06-09,6
2019-06-16,6
2019-06-23,5
2019-06-30,6
2019-07-07,5
2019-07-14,4
2019-07-21,5
2019-07-28,5
2019-08-04,5
2019-08-11,5
2019-08-18,6
2019-08-25,5
2019-09-01,6
2019-09-08,6
2019-09-15,5
2019-09-22,6
2019-09-29,5
2019-10-06,5
2019-10-13,6
2019-10-20,6
2019-10-27,6
2019-11-03,6
2019-11-10,6
2019-11-17,6
2019-11-24,5
2019-12-01,5
2019-12-08,6
2019-12-15,5
2019-12-22,5
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,6
2020-01-26,6
2020-02-02,6
2020-02-09,6
2020-02-16,5
2020-02-23,6
2020-03-01,6
2020-03-08,5
2020-03-15,5
2020-03-22,5
2020-03-29,5
2020-04-05,4
2020-04-12,4
2020-04-19,4
2020-04-26,5
2020-05-03,4
2020-05-10,5
2020-05-17,5
2020-05-24,7
2020-05-31,5
2020-06-07,6
2020-06-14,6
2020-06-21,6
2020-06-28,5
2020-07-05,8
2020-07-12,6
2020-07-19,6
2020-07-26,6
2020-08-02,6
2020-08-09,6
2020-08-16,5
2020-08-23,6
2020-08-30,6
2020-09-06,5
2020-09-13,6
2020-09-20,6
2020-09-27,6
2020-10-04,5
2020-10-11,5
2020-10-18,5
2020-10-25,4
2020-11-01,4
2020-11-08,4
2020-11-15,4
2020-11-22,5
2020-11-29,4
2020-12-06,5
2020-12-13,5
2020-12-20,6
2020-12-27,7
2021-01-03,10
2021-01-10,7
2021-01-17,6
2021-01-24,55
2021-01-31,42
2021-02-07,43
2021-02-14,21
2021-02-21,15
2021-02-28,11
2021-03-07,13
2021-03-14,11
2021-03-21,9
2021-03-28,9
2021-04-04,10
2021-04-11,72
2021-04-18,69
2021-04-25,32
2021-05-02,100
2021-05-09,96
2021-05-16,42
2021-05-23,26
2021-05-30,26
2021-06-06,19
2021-06-13,15
2021-06-20,20
2021-06-27,21
2021-07-04,24
2021-07-11,15
2021-07-18,15
2021-07-25,13
2021-08-01,13
2021-08-08,15
2021-08-15,16
2021-08-22,13
2021-08-29,12
2021-09-05,12
2021-09-12,10
2021-09-19,10
2021-09-26,9
2021-10-03,13
2021-10-10,13
