Week,polkadot: (Worldwide)
2016-10-23,8
2016-10-30,7
2016-11-06,7
2016-11-13,6
2016-11-20,6
2016-11-27,6
2016-12-04,7
2016-12-11,7
2016-12-18,7
2016-12-25,4
2017-01-01,6
2017-01-08,6
2017-01-15,8
2017-01-22,6
2017-01-29,7
2017-02-05,5
2017-02-12,7
2017-02-19,8
2017-02-26,7
2017-03-05,6
2017-03-12,7
2017-03-19,7
2017-03-26,6
2017-04-02,8
2017-04-09,8
2017-04-16,6
2017-04-23,8
2017-04-30,6
2017-05-07,6
2017-05-14,7
2017-05-21,5
2017-05-28,7
2017-06-04,5
2017-06-11,7
2017-06-18,5
2017-06-25,4
2017-07-02,5
2017-07-09,5
2017-07-16,6
2017-07-23,5
2017-07-30,7
2017-08-06,6
2017-08-13,6
2017-08-20,8
2017-08-27,6
2017-09-03,7
2017-09-10,6
2017-09-17,6
2017-09-24,5
2017-10-01,6
2017-10-08,6
2017-10-15,9
2017-10-22,8
2017-10-29,7
2017-11-05,10
2017-11-12,8
2017-11-19,6
2017-11-26,7
2017-12-03,6
2017-12-10,8
2017-12-17,7
2017-12-24,6
2017-12-31,6
2018-01-07,5
2018-01-14,7
2018-01-21,8
2018-01-28,5
2018-02-04,8
2018-02-11,7
2018-02-18,6
2018-02-25,6
2018-03-04,6
2018-03-11,8
2018-03-18,7
2018-03-25,5
2018-04-01,7
2018-04-08,8
2018-04-15,5
2018-04-22,5
2018-04-29,7
2018-05-06,7
2018-05-13,7
2018-05-20,8
2018-05-27,9
2018-06-03,7
2018-06-10,6
2018-06-17,7
2018-06-24,9
2018-07-01,5
2018-07-08,8
2018-07-15,7
2018-07-22,5
2018-07-29,7
2018-08-05,7
2018-08-12,8
2018-08-19,6
2018-08-26,6
2018-09-02,6
2018-09-09,6
2018-09-16,6
2018-09-23,6
2018-09-30,5
2018-10-07,5
2018-10-14,6
2018-10-21,5
2018-10-28,5
2018-11-04,6
2018-11-11,7
2018-11-18,7
2018-11-25,7
2018-12-02,7
2018-12-09,6
2018-12-16,5
2018-12-23,5
2018-12-30,7
2019-01-06,6
2019-01-13,4
2019-01-20,6
2019-01-27,7
2019-02-03,5
2019-02-10,7
2019-02-17,6
2019-02-24,7
2019-03-03,7
2019-03-10,5
2019-03-17,7
2019-03-24,7
2019-03-31,5
2019-04-07,7
2019-04-14,7
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,7
2019-05-19,5
2019-05-26,7
2019-06-02,6
2019-06-09,5
2019-06-16,6
2019-06-23,8
2019-06-30,6
2019-07-07,4
2019-07-14,7
2019-07-21,7
2019-07-28,4
2019-08-04,9
2019-08-11,5
2019-08-18,5
2019-08-25,6
2019-09-01,4
2019-09-08,5
2019-09-15,6
2019-09-22,5
2019-09-29,4
2019-10-06,6
2019-10-13,5
2019-10-20,4
2019-10-27,6
2019-11-03,5
2019-11-10,5
2019-11-17,4
2019-11-24,5
2019-12-01,6
2019-12-08,6
2019-12-15,5
2019-12-22,5
2019-12-29,5
2020-01-05,7
2020-01-12,6
2020-01-19,4
2020-01-26,4
2020-02-02,7
2020-02-09,5
2020-02-16,6
2020-02-23,6
2020-03-01,6
2020-03-08,6
2020-03-15,5
2020-03-22,4
2020-03-29,5
2020-04-05,5
2020-04-12,7
2020-04-19,7
2020-04-26,6
2020-05-03,6
2020-05-10,6
2020-05-17,5
2020-05-24,6
2020-05-31,6
2020-06-07,7
2020-06-14,8
2020-06-21,7
2020-06-28,7
2020-07-05,8
2020-07-12,8
2020-07-19,7
2020-07-26,10
2020-08-02,9
2020-08-09,9
2020-08-16,22
2020-08-23,33
2020-08-30,20
2020-09-06,16
2020-09-13,12
2020-09-20,12
2020-09-27,9
2020-10-04,9
2020-10-11,8
2020-10-18,11
2020-10-25,9
2020-11-01,10
2020-11-08,9
2020-11-15,11
2020-11-22,12
2020-11-29,11
2020-12-06,11
2020-12-13,15
2020-12-20,12
2020-12-27,40
2021-01-03,42
2021-01-10,74
2021-01-17,85
2021-01-24,45
2021-01-31,75
2021-02-07,79
2021-02-14,100
2021-02-21,83
2021-02-28,59
2021-03-07,52
2021-03-14,49
2021-03-21,41
2021-03-28,63
2021-04-04,53
2021-04-11,63
2021-04-18,51
2021-04-25,49
2021-05-02,67
2021-05-09,69
2021-05-16,60
2021-05-23,45
2021-05-30,35
2021-06-06,34
2021-06-13,42
2021-06-20,33
2021-06-27,26
2021-07-04,24
2021-07-11,25
2021-07-18,26
2021-07-25,26
2021-08-01,34
2021-08-08,38
2021-08-15,36
2021-08-22,39
2021-08-29,48
2021-09-05,41
2021-09-12,44
2021-09-19,31
2021-09-26,24
2021-10-03,34
2021-10-10,58
