Week,tether: (Worldwide)
2016-10-23,23
2016-10-30,20
2016-11-06,21
2016-11-13,22
2016-11-20,22
2016-11-27,23
2016-12-04,28
2016-12-11,24
2016-12-18,20
2016-12-25,25
2017-01-01,27
2017-01-08,28
2017-01-15,27
2017-01-22,25
2017-01-29,26
2017-02-05,26
2017-02-12,23
2017-02-19,26
2017-02-26,28
2017-03-05,23
2017-03-12,28
2017-03-19,27
2017-03-26,25
2017-04-02,23
2017-04-09,23
2017-04-16,24
2017-04-23,24
2017-04-30,21
2017-05-07,21
2017-05-14,26
2017-05-21,27
2017-05-28,25
2017-06-04,26
2017-06-11,28
2017-06-18,23
2017-06-25,31
2017-07-02,27
2017-07-09,23
2017-07-16,24
2017-07-23,27
2017-07-30,31
2017-08-06,28
2017-08-13,30
2017-08-20,24
2017-08-27,27
2017-09-03,34
2017-09-10,31
2017-09-17,27
2017-09-24,24
2017-10-01,27
2017-10-08,23
2017-10-15,26
2017-10-22,25
2017-10-29,28
2017-11-05,25
2017-11-12,32
2017-11-19,47
2017-11-26,43
2017-12-03,44
2017-12-10,39
2017-12-17,46
2017-12-24,45
2017-12-31,43
2018-01-07,40
2018-01-14,57
2018-01-21,41
2018-01-28,100
2018-02-04,57
2018-02-11,37
2018-02-18,34
2018-02-25,27
2018-03-04,26
2018-03-11,25
2018-03-18,31
2018-03-25,26
2018-04-01,25
2018-04-08,28
2018-04-15,24
2018-04-22,27
2018-04-29,25
2018-05-06,20
2018-05-13,25
2018-05-20,25
2018-05-27,25
2018-06-03,24
2018-06-10,31
2018-06-17,25
2018-06-24,25
2018-07-01,27
2018-07-08,28
2018-07-15,29
2018-07-22,29
2018-07-29,25
2018-08-05,22
2018-08-12,26
2018-08-19,25
2018-08-26,25
2018-09-02,24
2018-09-09,26
2018-09-16,24
2018-09-23,24
2018-09-30,23
2018-10-07,22
2018-10-14,40
2018-10-21,27
2018-10-28,23
2018-11-04,23
2018-11-11,24
2018-11-18,25
2018-11-25,24
2018-12-02,18
2018-12-09,22
2018-12-16,21
2018-12-23,28
2018-12-30,24
2019-01-06,21
2019-01-13,23
2019-01-20,20
2019-01-27,22
2019-02-03,23
2019-02-10,21
2019-02-17,23
2019-02-24,21
2019-03-03,24
2019-03-10,23
2019-03-17,24
2019-03-24,28
2019-03-31,24
2019-04-07,21
2019-04-14,24
2019-04-21,27
2019-04-28,27
2019-05-05,25
2019-05-12,25
2019-05-19,22
2019-05-26,22
2019-06-02,22
2019-06-09,23
2019-06-16,24
2019-06-23,27
2019-06-30,27
2019-07-07,27
2019-07-14,27
2019-07-21,25
2019-07-28,24
2019-08-04,21
2019-08-11,23
2019-08-18,25
2019-08-25,22
2019-09-01,22
2019-09-08,23
2019-09-15,21
2019-09-22,25
2019-09-29,27
2019-10-06,25
2019-10-13,24
2019-10-20,23
2019-10-27,21
2019-11-03,22
2019-11-10,21
2019-11-17,27
2019-11-24,24
2019-12-01,19
2019-12-08,18
2019-12-15,22
2019-12-22,21
2019-12-29,21
2020-01-05,26
2020-01-12,24
2020-01-19,26
2020-01-26,23
2020-02-02,24
2020-02-09,24
2020-02-16,22
2020-02-23,22
2020-03-01,21
2020-03-08,24
2020-03-15,23
2020-03-22,27
2020-03-29,28
2020-04-05,27
2020-04-12,28
2020-04-19,29
2020-04-26,29
2020-05-03,29
2020-05-10,29
2020-05-17,29
2020-05-24,25
2020-05-31,25
2020-06-07,27
2020-06-14,23
2020-06-21,30
2020-06-28,29
2020-07-05,29
2020-07-12,29
2020-07-19,31
2020-07-26,29
2020-08-02,28
2020-08-09,26
2020-08-16,29
2020-08-23,32
2020-08-30,26
2020-09-06,32
2020-09-13,30
2020-09-20,28
2020-09-27,29
2020-10-04,32
2020-10-11,27
2020-10-18,25
2020-10-25,20
2020-11-01,20
2020-11-08,25
2020-11-15,27
2020-11-22,26
2020-11-29,26
2020-12-06,28
2020-12-13,25
2020-12-20,28
2020-12-27,35
2021-01-03,54
2021-01-10,68
2021-01-17,45
2021-01-24,42
2021-01-31,40
2021-02-07,45
2021-02-14,52
2021-02-21,57
2021-02-28,40
2021-03-07,37
2021-03-14,41
2021-03-21,49
2021-03-28,42
2021-04-04,47
2021-04-11,46
2021-04-18,53
2021-04-25,46
2021-05-02,54
2021-05-09,63
2021-05-16,66
2021-05-23,58
2021-05-30,46
2021-06-06,42
2021-06-13,45
2021-06-20,48
2021-06-27,42
2021-07-04,42
2021-07-11,45
2021-07-18,39
2021-07-25,43
2021-08-01,34
2021-08-08,38
2021-08-15,38
2021-08-22,34
2021-08-29,33
2021-09-05,33
2021-09-12,31
2021-09-19,34
2021-09-26,29
2021-10-03,35
2021-10-10,39
